from,to,cost
1,2,630
1,3,1132
1,4,1632
1,5,2030
1,6,2680
1,7,3372
1,8,3872
1,9,4550
1,10,5120
1,11,5650
1,12,6150
1,13,6810
2,1,630
2,3,502
2,4,1002
2,5,1400
2,6,2050
2,7,2742
2,8,3242
2,9,3920
2,10,4490
2,11,5020
2,12,5520
2,13,6180
3,1,1132
3,2,502
3,4,1632
3,5,898
3,6,1548
3,7,2240
3,8,2740
3,9,3418
3,10,3988
3,11,4518
3,12,5018
3,13,5678
4,1,1632
4,2,1002
4,3,500
4,5,398
4,6,1048
4,7,1740
4,8,2240
4,9,2918
4,10,3488
4,11,4018
4,12,4518
4,13,5178
5,1,2030
5,2,1400
5,3,898
5,4,398
5,6,650
5,7,1342
5,8,1842
5,9,2520
5,10,3090
5,11,3620
5,12,4120
5,13,4780
6,1,2680
6,2,2050
6,3,1548
6,4,1048
6,5,650
6,7,692
6,8,1192
6,9,1870
6,10,2440
6,11,2970
6,12,3470
6,13,4130
7,1,3372
7,2,2742
7,3,2240
7,4,1740
7,5,1342
7,6,692
7,8,500
7,9,1178
7,10,1748
7,11,2278
7,12,2778
7,13,3438
8,1,3872
8,2,3242
8,3,2740
8,4,2240
8,5,1842
8,6,1192
8,7,500
8,9,678
8,10,1248
8,11,1778
8,12,2278
8,13,2938
9,1,4550
9,2,3920
9,3,3418
9,4,2918
9,5,2520
9,6,1870
9,7,1178
9,8,678
9,10,570
9,11,1100
9,12,1600
9,13,2260
10,1,5120
10,2,4490
10,3,3988
10,4,3488
10,5,3090
10,6,2440
10,7,1748
10,8,1248
10,9,570
10,11,530
10,12,1030
10,13,1690
11,1,5650
11,2,5020
11,3,4518
11,4,4018
11,5,3620
11,6,2970
11,7,2278
11,8,1778
11,9,1100
11,10,530
11,12,500
11,13,1160
12,1,6150
12,2,5520
12,3,5018
12,4,4518
12,5,4120
12,6,3470
12,7,2778
12,8,2278
12,9,1600
12,10,1030
12,11,500
12,13,660
13,1,6810
13,2,6180
13,3,5678
13,4,5178
13,5,4780
13,6,4130
13,7,3438
13,8,2938
13,9,2260
13,10,1690
13,11,1160
13,12,660
